condition,count,nc_count
9m_AD_R1,4941.0,93.0
9m_AD_R1,6159.0,178.0
9m_AD_R1,3790.0,69.0
9m_AD_R1,6253.0,171.0
9m_AD_R1,10355.0,314.0
9m_AD_R1,7825.0,203.0
9m_AD_R1,9040.0,277.0
9m_AD_R1,11254.0,343.0
9m_AD_R1,9495.0,202.0
9m_AD_R1,9397.0,251.0
9m_AD_R1,10501.0,313.0
9m_AD_R1,5552.0,128.0
9m_AD_R1,8009.0,201.0
9m_AD_R1,9874.0,259.0
9m_AD_R1,12093.0,348.0
9m_AD_R1,10728.0,336.0
9m_AD_R1,10477.0,275.0
9m_AD_R1,9958.0,288.0
9m_AD_R1,8133.0,231.0
9m_AD_R1,6642.0,164.0
9m_AD_R1,6112.0,144.0
9m_AD_R1,5481.0,90.0
9m_AD_R1,10908.0,323.0
9m_AD_R1,9241.0,204.0
9m_AD_R1,9944.0,288.0
9m_AD_R1,11084.0,248.0
9m_AD_R1,9327.0,253.0
9m_AD_R1,9559.0,241.0
9m_AD_R1,9561.0,188.0
9m_AD_R1,9836.0,278.0
9m_AD_R1,10598.0,316.0
9m_AD_R1,9784.0,270.0
9m_AD_R1,6623.0,143.0
9m_AD_R1,11163.0,426.0
9m_AD_R1,8244.0,210.0
9m_AD_R1,12157.0,415.0
9m_AD_R1,10130.0,335.0
9m_AD_R1,6984.0,178.0
9m_AD_R1,8416.0,274.0
9m_AD_R1,3762.0,77.0
9m_AD_R1,83.0,4.0
9m_AD_R1,691.0,5.0
9m_AD_R1,1782.0,21.0
9m_AD_R1,1847.0,40.0
9m_AD_R1,2455.0,46.0
9m_AD_R1,2987.0,33.0
9m_AD_R1,2536.0,52.0
9m_AD_R1,1629.0,18.0
9m_AD_R1,2793.0,51.0
9m_AD_R1,3231.0,57.0
9m_AD_R1,5223.0,190.0
9m_AD_R1,4337.0,113.0
9m_AD_R1,5953.0,173.0
9m_AD_R1,5052.0,135.0
9m_AD_R1,6944.0,215.0
9m_AD_R1,9023.0,249.0
9m_AD_R1,6784.0,145.0
9m_AD_R1,7919.0,213.0
9m_AD_R1,7936.0,221.0
9m_AD_R1,9272.0,277.0
9m_AD_R1,9133.0,353.0
9m_AD_R1,10544.0,320.0
9m_AD_R1,9554.0,278.0
9m_AD_R1,7684.0,179.0
9m_AD_R1,10110.0,304.0
9m_AD_R1,8110.0,179.0
9m_AD_R1,7117.0,160.0
9m_AD_R1,10318.0,300.0
9m_AD_R1,5704.0,90.0
9m_AD_R1,9752.0,289.0
9m_AD_R1,5147.0,110.0
9m_AD_R1,2404.0,46.0
9m_AD_R1,3601.0,77.0
9m_AD_R1,3408.0,68.0
9m_AD_R1,8494.0,206.0
9m_AD_R1,7933.0,169.0
9m_AD_R1,8416.0,162.0
9m_AD_R1,8363.0,180.0
9m_AD_R1,10096.0,268.0
9m_AD_R1,6198.0,128.0
9m_AD_R1,8594.0,232.0
9m_AD_R1,8014.0,161.0
9m_AD_R1,7142.0,137.0
9m_AD_R1,8443.0,210.0
9m_AD_R1,10195.0,267.0
9m_AD_R1,6412.0,93.0
9m_AD_R1,8649.0,203.0
9m_AD_R1,7934.0,206.0
9m_AD_R1,11249.0,376.0
9m_AD_R1,10401.0,368.0
9m_AD_R1,8979.0,260.0
9m_AD_R1,6850.0,207.0
9m_AD_R1,3422.0,57.0
9m_AD_R1,113.0,4.0
9m_AD_R1,716.0,15.0
9m_AD_R1,2112.0,45.0
9m_AD_R1,2100.0,36.0
9m_AD_R1,2454.0,51.0
9m_AD_R1,3576.0,74.0
9m_AD_R1,3019.0,56.0
9m_AD_R1,2600.0,54.0
9m_AD_R1,2366.0,38.0
9m_AD_R1,3877.0,119.0
9m_AD_R1,3568.0,95.0
9m_AD_R1,2989.0,43.0
9m_AD_R1,6059.0,193.0
9m_AD_R1,6724.0,167.0
9m_AD_R1,5424.0,137.0
9m_AD_R1,8102.0,241.0
9m_AD_R1,8574.0,218.0
9m_AD_R1,5459.0,102.0
9m_AD_R1,6289.0,167.0
9m_AD_R1,8168.0,244.0
9m_AD_R1,7228.0,203.0
9m_AD_R1,8473.0,268.0
9m_AD_R1,6233.0,170.0
9m_AD_R1,10902.0,354.0
9m_AD_R1,10083.0,292.0
9m_AD_R1,6660.0,123.0
9m_AD_R1,8099.0,187.0
9m_AD_R1,10486.0,278.0
9m_AD_R1,8810.0,260.0
9m_AD_R1,8178.0,217.0
9m_AD_R1,9254.0,212.0
9m_AD_R1,10089.0,318.0
9m_AD_R1,7685.0,200.0
9m_AD_R1,5122.0,98.0
9m_AD_R1,2151.0,19.0
9m_AD_R1,2797.0,80.0
9m_AD_R1,2278.0,37.0
9m_AD_R1,4641.0,135.0
9m_AD_R1,7247.0,162.0
9m_AD_R1,10265.0,326.0
9m_AD_R1,7811.0,173.0
9m_AD_R1,11004.0,248.0
9m_AD_R1,10416.0,243.0
9m_AD_R1,12810.0,330.0
9m_AD_R1,8491.0,211.0
9m_AD_R1,7562.0,209.0
9m_AD_R1,11095.0,292.0
9m_AD_R1,12081.0,344.0
9m_AD_R1,9295.0,212.0
9m_AD_R1,6676.0,149.0
9m_AD_R1,8635.0,211.0
9m_AD_R1,10681.0,312.0
9m_AD_R1,9684.0,351.0
9m_AD_R1,9165.0,301.0
9m_AD_R1,9218.0,393.0
9m_AD_R1,706.0,8.0
9m_AD_R1,460.0,13.0
9m_AD_R1,2246.0,59.0
9m_AD_R1,4437.0,145.0
9m_AD_R1,1418.0,38.0
9m_AD_R1,432.0,10.0
9m_AD_R1,1144.0,24.0
9m_AD_R1,2517.0,59.0
9m_AD_R1,1769.0,25.0
9m_AD_R1,2354.0,37.0
9m_AD_R1,2881.0,36.0
9m_AD_R1,4429.0,132.0
9m_AD_R1,4002.0,69.0
9m_AD_R1,4762.0,87.0
9m_AD_R1,5556.0,171.0
9m_AD_R1,4488.0,95.0
9m_AD_R1,8045.0,187.0
9m_AD_R1,6575.0,161.0
9m_AD_R1,6675.0,155.0
9m_AD_R1,3998.0,103.0
9m_AD_R1,5198.0,119.0
9m_AD_R1,4132.0,87.0
9m_AD_R1,6150.0,210.0
9m_AD_R1,4703.0,97.0
9m_AD_R1,8310.0,212.0
9m_AD_R1,8218.0,215.0
9m_AD_R1,4978.0,93.0
9m_AD_R1,9683.0,295.0
9m_AD_R1,7359.0,177.0
9m_AD_R1,9339.0,261.0
9m_AD_R1,12680.0,362.0
